r6g	0.606
800	0.1008	0.2452
810	0.1020	0.2179
820	0.1022	0.1977
830	0.1019	0.1832
840	0.1016	0.1729
850	0.1019	0.1654
860	0.1031	0.1594
870	0.1058	0.1537
880	0.1096	0.1483
890	0.1141	0.1432
900	0.1189	0.1387
910	0.1237	0.1350
913	0.1250	0.1340
917	0.1267	0.1328
920	0.1279	0.1321
930	0.1312	0.1303
940	0.1332	0.1297
950	0.1334	0.1305
960	0.1315	0.1329
