r6g	0.606
800	0.1646	0.24528
810	0.1625	0.218
820	0.1598	0.19777
830	0.1569	0.18321
840	0.1542	0.17291
850	0.1521	0.16546
860	0.1511	0.15947
870	0.1514	0.1538
880	0.1535	0.14834
890	0.1575	0.14328
900	0.1632	0.13878
910	0.1685	0.135
913	0.1696	0.13403
917	0.1708	0.13288
920	0.1714	0.13212
930	0.1725	0.1303
940	0.173	0.12971
950	0.1742	0.13053
960	0.1772	0.13291
