r6g	0.526
800	0.06648	0.30424
810	0.06477	0.27578
820	0.06559	0.24942
830	0.07799	0.17567
840	0.06607	0.20737
850	0.06547	0.18992
860	0.07056	0.07376
870	0.06657	0.17055
880	0.06943	0.16575
890	0.06889	0.16205
900	0.07126	0.15973
910	0.06811	0.04889
920	0.07465	0.15636
930	0.07623	0.15459
940	0.07515	0.15285
950	0.07714	0.15091
960	0.06811	0.0448
970	0.07793	0.14775
980	0.07926	0.14552
990	0.07875	0.14294
1000	0.07801	0.14045
